Country,Year,value,value_better,value_worse
Global,1990,271,271,271
Global,1991,270,270,270
Global,1992,270,270,270
Global,1993,268,268,268
Global,1994,267,267,267
Global,1995,266,266,266
Global,1996,263,263,263
Global,1997,261,261,261
Global,1998,260,260,260
Global,1999,258,258,258
Global,2000,255,255,255
Global,2001,247,247,247
Global,2002,241,241,241
Global,2003,234,234,234
Global,2004,229,229,229
Global,2005,223,223,223
Global,2006,216,216,216
Global,2007,208,208,208
Global,2008,201,201,201
Global,2009,196,196,196
Global,2010,190,190,190
Global,2011,182,182,182
Global,2012,176,176,176
Global,2013,173,173,173
Global,2014,167,167,167
Global,2015,162,162,162
Global,2016,160,160,160
Global,2017,159,159,159
Global,2018,157,157,157
Global,2019,156,156,156
Global,2020,157,157,157
Global,2021,159,159,159
Global,2022,154,149,160
Global,2023,152,143,164
Global,2024,151,137,169
Global,2025,149,130,173
Global,2026,147,125,178
Global,2027,146,119,183
Global,2028,144,114,188
Global,2029,143,109,194
Global,2030,141,103,199